conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
C14L:1,University of Arizona - USA,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:2,NSF-Ariz. AMS Facility - USA,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:3,University of Aarhus - Denmark,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:4,Ingeis - Argentina,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:5,Alberta Environmental Center of Vegreville - Canada,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:6,Atomic Energy Res. Inst. - Korea,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:7,Algiers - Algeria,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:8,Applied Nuclear-Atomic Science (ANAS) Lab. - South Korea,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:9,Argonne Nat. Lab. - USA,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:10,Australian Nuclear Science & Technology - Australia,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:11,Antwerp - Belgium,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:12,Australian National Univ. - Australia,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:13,ANU Accelerator - Australia,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:14,University of Alaska - USA,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:15,Bern - Switzerland,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:16,Bratislava - Slovakia,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:17,Brooklyn College - USA,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:18,University of Bern - Switzerland,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:19,Beta Analytic - USA,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
C14L:20,Brock University - Canada,,C14_LABORATORY_AUTHORITY_DOCUMENT.csv,Index,GCI
