conceptid,value,valuetype,provider
C14L:1,A,code,GCI
C14L:2,AA,code,GCI
C14L:3,AAR,code,GCI
C14L:4,AC,code,GCI
C14L:5,AECV,code,GCI
C14L:6,AERIK,code,GCI
C14L:7,ALG,code,GCI
C14L:8,ANAS,code,GCI
C14L:9,ANL,code,GCI
C14L:10,ANSTO,code,GCI
C14L:11,ANTW,code,GCI
C14L:12,ANU,code,GCI
C14L:13,ANUA,code,GCI
C14L:14,AU,code,GCI
C14L:15,B,code,GCI
C14L:16,Ba,code,GCI
C14L:17,BC,code,GCI
C14L:18,BE,code,GCI
C14L:19,Beta,code,GCI
C14L:20,BGS,code,GCI
C14L:21,BIOCAMS,code,GCI
C14L:22,Birm,code,GCI
C14L:23,Bln,code,GCI
C14L:24,BM,code,GCI
C14L:25,BONN,code,GCI
C14L:26,BS,code,GCI
C14L:27,C,code,GCI
C14L:28,CAMS,code,GCI
C14L:29,CAR,code,GCI
C14L:30,CENA,code,GCI
C14L:31,CG,code,GCI
C14L:32,CH,code,GCI
C14L:33,CNA,code,GCI
C14L:34,COL,code,GCI
C14L:35,CRCA,code,GCI
C14L:36,CRL,code,GCI
C14L:37,CSIC,code,GCI
C14L:38,CSM,code,GCI
C14L:39,CT,code,GCI
C14L:40,CU,code,GCI
C14L:41,D,code,GCI
C14L:42,Dak,code,GCI
C14L:43,DAL,code,GCI
C14L:44,DE,code,GCI
C14L:45,Deb,code,GCI
C14L:46,DebA,code,GCI
C14L:47,DEM,code,GCI
C14L:48,DGC,code,GCI
C14L:49,DIC,code,GCI
C14L:50,DK,code,GCI
C14L:51,DRI,code,GCI
C14L:52,DSA,code,GCI
C14L:53,D-AMS,code,GCI
C14L:54,ENEA,code,GCI
C14L:55,Erl,code,GCI
C14L:56,ETH,code,GCI
C14L:57,F,code,GCI
C14L:58,Fi,code,GCI
C14L:59,Fr,code,GCI
C14L:60,Fra,code,GCI
C14L:61,FSU,code,GCI
C14L:62,FZ,code,GCI
C14L:63,G,code,GCI
C14L:64,GAK,code,GCI
C14L:65,Gd,code,GCI
C14L:66,GD,code,GCI
C14L:67,Gif,code,GCI
C14L:68,Gif A,code,GCI
C14L:69,GIN,code,GCI
C14L:70,GL,code,GCI
C14L:71,Gro,code,GCI
C14L:72,GrN,code,GCI
C14L:73,GrA,code,GCI
C14L:74,GSC,code,GCI
C14L:75,GU,code,GCI
C14L:76,GX,code,GCI
C14L:77,H,code,GCI
C14L:78,HAM,code,GCI
C14L:79,HAR,code,GCI
C14L:80,Hd,code,GCI
C14L:81,Hel,code,GCI
C14L:82,Hela,code,GCI
C14L:83,HIG,code,GCI
C14L:84,HL,code,GCI
C14L:85,HNS,code,GCI
C14L:86,Hv,code,GCI
C14L:87,I,code,GCI
C14L:88,IAA,code,GCI
C14L:89,IAAA,code,GCI
C14L:90,IAEA,code,GCI
C14L:91,IAEA-MEL,code,GCI
C14L:92,ICA,code,GCI
C14L:93,ICEN,code,GCI
C14L:94,IEMAE,code,GCI
C14L:95,IFAO,code,GCI
C14L:96,IGAN,code,GCI
C14L:97,IGS,code,GCI
C14L:98,IGSB,code,GCI
C14L:99,IHME,code,GCI
C14L:100,II,code,GCI
C14L:101,IMTA,code,GCI
C14L:102,IOAN,code,GCI
C14L:103,IORAN,code,GCI
C14L:104,IRPA,code,GCI
C14L:105,ISGS,code,GCI
C14L:106,IVAN,code,GCI
C14L:107,IVIC,code,GCI
C14L:108,IWP,code,GCI
C14L:109,J,code,GCI
C14L:110,KEEA,code,GCI
C14L:111,KGM,code,GCI
C14L:112,KI,code,GCI
C14L:113,KIA,code,GCI
C14L:114,Ki (KIEV),code,GCI
C14L:115,KIK,code,GCI
C14L:116,KN,code,GCI
C14L:117,KR,code,GCI
C14L:118,KRIL,code,GCI
C14L:119,KSU,code,GCI
C14L:120,L,code,GCI
C14L:121,LACUFF,code,GCI
C14L:122,LEMA,code,GCI
C14L:123,LTL,code,GCI
C14L:124,Lu,code,GCI
C14L:125,LuS,code,GCI
C14L:126,LU,code,GCI
C14L:127,Lv,code,GCI
C14L:128,??,code,GCI
C14L:129,Ly,code,GCI
C14L:130,LZ,code,GCI
C14L:131,M,code,GCI
C14L:132,Ma,code,GCI
C14L:133,MAG,code,GCI
C14L:134,MAMS,code,GCI
C14L:135,MC,code,GCI
C14L:136,METU,code,GCI
C14L:137,MKL,code,GCI
C14L:138,MTC,code,GCI
C14L:139,N,code,GCI
C14L:140,NIST,code,GCI
C14L:141,NOSAMS,code,GCI
C14L:142,NPL,code,GCI
C14L:143,NS,code,GCI
C14L:144,NSRL,code,GCI
C14L:145,NSTF,code,GCI
C14L:146,NSW,code,GCI
C14L:147,NTU,code,GCI
C14L:148,NU,code,GCI
C14L:149,NUTA,code,GCI
C14L:150,LAEC,code,GCI
C14L:151,Ny,code,GCI
C14L:152,LAR,code,GCI
C14L:153,NZ,code,GCI
C14L:154,LE,code,GCI
C14L:155,NZA,code,GCI
C14L:156,LIH,code,GCI
C14L:157,O,code,GCI
C14L:158,LJ,code,GCI
C14L:159,OBDY,code,GCI
C14L:160,OR,code,GCI
C14L:161,ORINS,code,GCI
C14L:162,OWU,code,GCI
C14L:163,OX,code,GCI
C14L:164,OxA,code,GCI
C14L:165,OZ,code,GCI
C14L:166,P,code,GCI
C14L:167,PAL,code,GCI
C14L:168,Pi,code,GCI
C14L:169,PI,code,GCI
C14L:170,PIC,code,GCI
C14L:171,PITT,code,GCI
C14L:172,Poz,code,GCI
C14L:173,Pr,code,GCI
C14L:174,PKU,code,GCI
C14L:175,PKUAMS,code,GCI
C14L:176,PL,code,GCI
C14L:177,PLD,code,GCI
C14L:178,PRI,code,GCI
C14L:179,PRL,code,GCI
C14L:180,PRLCH,code,GCI
C14L:181,PSU,code,GCI
C14L:182,Pta,code,GCI
C14L:183,Q,code,GCI
C14L:184,QL,code,GCI
C14L:185,QC,code,GCI
C14L:186,QU,code,GCI
C14L:187,R,code,GCI
C14L:188,RCD,code,GCI
C14L:189,RI,code,GCI
C14L:190,RICH,code,GCI
C14L:191,RIDDL,code,GCI
C14L:192,Riga,code,GCI
C14L:193,RL,code,GCI
C14L:194,Rome,code,GCI
C14L:195,RT,code,GCI
C14L:196,RTK,code,GCI
C14L:197,RU,code,GCI
C14L:198,S,code,GCI
C14L:199,Sa,code,GCI
C14L:200,Sac,code,GCI
C14L:201,SacA,code,GCI
C14L:202,SFU,code,GCI
C14L:203,Sh,code,GCI
C14L:204,SI,code,GCI
C14L:205,SL,code,GCI
C14L:206,SM,code,GCI
C14L:207,SMU,code,GCI
C14L:208,TB,code,GCI
C14L:209,TBNC,code,GCI
C14L:210,TEM,code,GCI
C14L:211,TF,code,GCI
C14L:212,TK,code,GCI
C14L:213,TKa,code,GCI
C14L:214,TKU,code,GCI
C14L:215,Tln,code,GCI
C14L:216,TO,code,GCI
C14L:217,TRa,code,GCI
C14L:218,TUa,code,GCI
C14L:219,TUNC,code,GCI
C14L:220,Tx,code,GCI
C14L:221,U,code,GCI
C14L:222,Ua,code,GCI
C14L:223,UB,code,GCI
C14L:224,UBA,code,GCI
C14L:225,UBAR,code,GCI
C14L:226,UCD,code,GCI
C14L:227,UCI,code,GCI
C14L:228,UCLA,code,GCI
C14L:229,UCR,code,GCI
C14L:230,UD,code,GCI
C14L:231,UGa,code,GCI
C14L:232,UGRA,code,GCI
C14L:233,UL,code,GCI
C14L:234,ULA,code,GCI
C14L:235,UM,code,GCI
C14L:236,UNAM,code,GCI
C14L:237,UOC,code,GCI
C14L:238,UQ,code,GCI
C14L:239,URCRM,code,GCI
C14L:240,URU,code,GCI
C14L:241,USGS,code,GCI
C14L:242,UtC,code,GCI
C14L:243,UTCAG,code,GCI
C14L:244,UW,code,GCI
C14L:245,V,code,GCI
C14L:246,VERA,code,GCI
C14L:247,VRI,code,GCI
C14L:248,W,code,GCI
C14L:249,WAT,code,GCI
C14L:250,WHAMS,code,GCI
C14L:251,WIS,code,GCI
C14L:252,Wk,code,GCI
C14L:253,WRD,code,GCI
